290,322
290,323
290,323
290,323
292,324
293,325
294,325
295,324
297,325
299,325
299,326
299,327
299,327
299,325
299,324
299,326
299,326
299,326
299,326
298,327
298,327
299,327
299,326
300,326
300,324
300,324
302,327
303,326
306,325
307,325
308,326
310,327
312,326
314,325
316,325
319,325
321,323
324,324
326,324
329,323
330,323
332,324
334,323
336,325
338,324
340,324
342,324
343,325
345,327
347,326
349,325
351,325
353,326
355,325
357,325
358,324
360,324
361,324
363,324
365,325
367,324
369,323
371,323
373,322
374,321
376,321
377,323
379,324
381,325
383,325
384,325
386,324
388,324
389,324
391,324
393,322
394,322
395,323
397,323
399,321
399,320
401,321
402,320
404,320
405,319
406,319
408,318
411,315
416,310
420,304
422,301
423,302
425,300
428,299
429,298
431,299
432,298
434,298
435,298
435,300
435,300
437,301
438,300
439,300
440,300
440,301
441,301
442,300
444,301
445,299
446,299
447,300
448,301
448,301
449,301
450,302
451,302
451,303
452,304
453,304
455,304
455,305
456,306
457,308
458,307
458,307
458,309
459,309
460,309
461,309
462,310
463,310
464,308
466,308
467,307
467,307
469,308
470,309
473,307
475,304
477,301
480,300
482,299
483,298
485,297
487,295
488,294
489,292
490,291
491,291
492,293
493,296
493,297
494,300
496,299
498,299
499,297
501,297
502,300
504,299
506,301
507,299
509,300
510,299
513,298
516,297
517,297
518,298
520,299
521,299
523,301
524,300
527,299
529,300
529,302
530,302
533,304
537,303
540,301
541,300
544,298
548,298
549,298
551,299
553,298
556,298
559,297
561,297
564,297
566,298
569,297
572,296
574,295
577,295
580,295
581,295
585,295
587,294
590,294
593,295
594,295
600,295
602,294
606,294
608,295
611,298
613,298
615,303
616,304
618,307
618,314
619,318
619,324
618,330
618,330
619,335
618,345
612,348
603,354
600,355
