348,241
345,231
345,230
345,230
344,231
346,230
347,230
347,230
348,229
349,227
349,227
347,226
347,227
348,227
348,228
347,228
346,228
345,227
343,227
343,226
342,227
341,227
337,228
334,227
330,228
327,228
324,228
321,227
317,229
313,229
310,229
308,229
304,229
301,230
298,229
295,230
291,229
287,230
285,229
282,228
277,229
273,229
269,231
267,231
262,232
257,233
252,233
248,233
246,234
243,233
240,234
238,234
236,235
234,236
232,237
230,236
228,236
226,235
223,236
221,234
218,236
215,234
213,234
210,235
208,235
206,235
204,235
201,235
199,234
198,235
196,235
194,236
192,236
190,235
188,237
186,237
184,239
181,239
179,240
178,241
177,242
175,243
172,242
169,242
166,242
163,243
161,243
158,242
155,240
152,240
149,242
147,241
145,239
144,238
142,237
140,235
138,232
136,231
136,231
135,231
134,232
132,230
129,229
128,229
126,232
123,235
119,235
115,233
110,233
105,234
100,233
94,233
89,233
85,233
81,232
79,231
77,230
76,229
75,231
73,230
72,231
72,230
70,229
68,230
65,232
64,233
62,235
60,235
57,234
54,232
51,232
47,234
42,234
37,237
